total_cores,r_index,speedup_asym,speedup_dyn
1.000000,1,1.000000,1.000000
4.000000,1,3.998800,3.998800
16.000000,1,15.976036,15.976036
64.000000,1,63.599324,63.599324
256.000000,1,249.634325,249.634325
1024.000000,1,928.966706,928.966706
4.000000,4,2.000000,3.999600
16.000000,4,13.991605,15.988808
64.000000,4,61.814556,63.802213
256.000000,4,250.839423,252.789572
1024.000000,4,972.407231,974.217486
16.000000,16,4.000000,15.995201
64.000000,16,51.937675,63.904144
256.000000,16,242.544732,254.397297
1024.000000,16,987.124464,998.537299
64.000000,64,8.000000,63.955231
256.000000,64,199.521149,255.208853
1024.000000,64,956.521739,1011.158290
256.000000,256,16.000000,255.616575
1024.000000,256,780.254777,1017.589188
1024.000000,1024,32.000000,1020.835410
4.000000,1,4.000000,4.000000
16.000000,1,15.995201,15.995201
64.000000,1,63.904144,63.904144
256.000000,1,254.397297,254.397297
1024.000000,1,998.537299,998.537299
4096.000000,1,3715.866824,3715.866824
16.000000,4,8.000000,15.998400
64.000000,4,55.966420,63.955231
256.000000,4,247.258225,255.208853
1024.000000,4,1003.357693,1011.158290
4096.000000,4,3889.628925,3896.869946
64.000000,16,16.000000,63.980806
256.000000,16,207.750699,255.616575
1024.000000,16,970.178926,1017.589188
4096.000000,16,3948.497854,3994.149196
256.000000,64,32.000000,255.820925
1024.000000,64,798.084597,1020.835410
4096.000000,64,3826.086957,4044.633159
1024.000000,256,64.000000,1022.466301
4096.000000,256,3121.019108,4070.356752
4096.000000,1024,128.000000,4083.341641
16.000000,1,16.000000,16.000000
64.000000,1,63.980806,63.980806
256.000000,1,255.616575,255.616575
1024.000000,1,1017.589188,1017.589188
4096.000000,1,3994.149196,3994.149196
16384.000000,1,14863.467296,14863.467296
64.000000,4,32.000000,63.993601
256.000000,4,223.865681,255.820925
1024.000000,4,989.032901,1020.835410
4096.000000,4,4013.430772,4044.633159
16384.000000,4,15558.515699,15587.479783
256.000000,16,64.000000,255.923223
1024.000000,16,831.002797,1022.466301
4096.000000,16,3880.715706,4070.356752
16384.000000,16,15793.991416,15976.596782
1024.000000,64,128.000000,1023.283701
4096.000000,64,3192.338388,4083.341641
16384.000000,64,15304.347826,16178.532636
4096.000000,256,256.000000,4089.865202
16384.000000,256,12484.076433,16281.427010
16384.000000,1024,512.000000,16333.366564
64.000000,1,64.000000,64.000000
256.000000,1,255.923223,255.923223
1024.000000,1,1022.466301,1022.466301
4096.000000,1,4070.356752,4070.356752
16384.000000,1,15976.596782,15976.596782
65536.000000,1,59453.869183,59453.869183
256.000000,4,128.000000,255.974403
1024.000000,4,895.462722,1023.283701
4096.000000,4,3956.131605,4083.341641
16384.000000,4,16053.723089,16178.532636
65536.000000,4,62234.062797,62349.919132
1024.000000,16,256.000000,1023.692892
4096.000000,16,3324.011187,4089.865202
16384.000000,16,15522.862823,16281.427010
65536.000000,16,63175.965665,63906.387128
4096.000000,64,512.000000,4093.134806
16384.000000,64,12769.353551,16333.366564
65536.000000,64,61217.391304,64714.130542
16384.000000,256,1024.000000,16359.460809
65536.000000,256,49936.305732,65125.708039
65536.000000,1024,2048.000000,65333.466255
256.000000,1,256.000000,256.000000
1024.000000,1,1023.692892,1023.692892
4096.000000,1,4089.865202,4089.865202
16384.000000,1,16281.427010,16281.427010
65536.000000,1,63906.387128,63906.387128
262144.000000,1,237815.476730,237815.476730
1024.000000,4,512.000000,1023.897610
4096.000000,4,3581.850889,4093.134806
16384.000000,4,15824.526421,16333.366564
65536.000000,4,64214.892356,64714.130542
262144.000000,4,248936.251189,249399.676529
4096.000000,16,1024.000000,4094.771569
16384.000000,16,13296.044746,16359.460809
65536.000000,16,62091.451292,65125.708039
262144.000000,16,252703.862661,255625.548513
16384.000000,64,2048.000000,16372.539223
65536.000000,64,51077.414206,65333.466255
262144.000000,64,244869.565217,258856.522168
65536.000000,256,4096.000000,65437.843235
262144.000000,256,199745.222930,260502.832157
262144.000000,1024,8192.000000,261333.865018
1024.000000,1,1024.000000,1024.000000
4096.000000,1,4094.771569,4094.771569
16384.000000,1,16359.460809,16359.460809
65536.000000,1,65125.708039,65125.708039
262144.000000,1,255625.548513,255625.548513
1048576.000000,1,951261.906922,951261.906922
4096.000000,4,2048.000000,4095.590441
16384.000000,4,14327.403558,16372.539223
65536.000000,4,63298.105683,65333.466255
262144.000000,4,256859.569425,258856.522168
1048576.000000,4,995745.004757,997598.706117
16384.000000,16,4096.000000,16379.086274
65536.000000,16,53184.178985,65437.843235
262144.000000,16,248365.805169,260502.832157
1048576.000000,16,1010815.450644,1022502.194052
65536.000000,64,8192.000000,65490.156890
262144.000000,64,204309.656824,261333.865018
1048576.000000,64,979478.260870,1035426.088674
262144.000000,256,16384.000000,261751.372941
1048576.000000,256,798980.891720,1042011.328630
1048576.000000,1024,32768.000000,1045335.460074
