total_cores,r_index,speedup_asym,speedup_dyn
1.000000,1,1.000000,1.000000
4.000000,1,4.000000,4.000000
16.000000,1,15.999998,15.999998
64.000000,1,63.999960,63.999960
256.000000,1,255.999347,255.999347
1024.000000,1,1023.989525,1023.989525
4.000000,4,2.000000,4.000000
16.000000,4,13.999999,15.999999
64.000000,4,61.999981,63.999980
256.000000,4,253.999680,255.999675
1024.000000,4,1021.994788,1023.994767
16.000000,16,4.000000,16.000000
64.000000,16,51.999994,63.999990
256.000000,16,243.999854,255.999839
1024.000000,16,1011.997450,1023.997389
64.000000,64,8.000000,63.999996
256.000000,64,199.999952,255.999921
1024.000000,64,967.998838,1023.998700
256.000000,256,16.000000,255.999962
1024.000000,256,783.999624,1023.999355
1024.000000,1024,32.000000,1023.999683
4.000000,1,4.000000,4.000000
16.000000,1,16.000000,16.000000
64.000000,1,63.999990,63.999990
256.000000,1,255.999839,255.999839
1024.000000,1,1023.997389,1023.997389
4096.000000,1,4095.958098,4095.958098
16.000000,4,8.000000,16.000000
64.000000,4,55.999997,63.999996
256.000000,4,247.999926,255.999921
1024.000000,4,1015.998720,1023.998700
4096.000000,4,4087.979151,4095.979070
64.000000,16,16.000000,63.999998
256.000000,16,207.999975,255.999962
1024.000000,16,975.999414,1023.999355
4096.000000,16,4047.989799,4095.989555
256.000000,64,32.000000,255.999982
1024.000000,64,799.999808,1023.999683
4096.000000,64,3871.995354,4095.994798
1024.000000,256,64.000000,1023.999846
4096.000000,256,3135.998495,4095.997420
4096.000000,1024,128.000000,4095.998730
16.000000,1,16.000000,16.000000
64.000000,1,63.999998,63.999998
256.000000,1,255.999962,255.999962
1024.000000,1,1023.999355,1023.999355
4096.000000,1,4095.989555,4095.989555
16384.000000,1,16383.832393,16383.832393
64.000000,4,32.000000,63.999999
256.000000,4,223.999987,255.999982
1024.000000,4,991.999702,1023.999683
4096.000000,4,4063.994879,4095.994798
16384.000000,4,16351.916605,16383.916278
256.000000,16,64.000000,255.999992
1024.000000,16,831.999900,1023.999846
4096.000000,16,3903.997658,4095.997420
16384.000000,16,16191.959196,16383.958221
1024.000000,64,128.000000,1023.999928
4096.000000,64,3199.999232,4095.998730
16384.000000,64,15487.981414,16383.979192
4096.000000,256,256.000000,4095.999386
16384.000000,256,12543.993979,16383.989678
16384.000000,1024,512.000000,16383.994921
64.000000,1,64.000000,64.000000
256.000000,1,255.999992,255.999992
1024.000000,1,1023.999846,1023.999846
4096.000000,1,4095.997420,4095.997420
16384.000000,1,16383.958221,16383.958221
65536.000000,1,65535.329574,65535.329574
256.000000,4,128.000000,255.999997
1024.000000,4,895.999946,1023.999928
4096.000000,4,3967.998810,4095.998730
16384.000000,4,16255.979517,16383.979192
65536.000000,4,65407.666421,65535.665113
1024.000000,16,256.000000,1023.999969
4096.000000,16,3327.999601,4095.999386
16384.000000,16,15615.990630,16383.989678
65536.000000,16,64767.836785,65535.832884
4096.000000,64,512.000000,4095.999713
16384.000000,64,12799.996928,16383.994921
65536.000000,64,61951.925658,65535.916769
16384.000000,256,1024.000000,16383.997542
65536.000000,256,50175.975916,65535.958712
65536.000000,1024,2048.000000,65535.979684
256.000000,1,256.000000,256.000000
1024.000000,1,1023.999969,1023.999969
4096.000000,1,4095.999386,4095.999386
16384.000000,1,16383.989678,16383.989678
65536.000000,1,65535.832884,65535.832884
262144.000000,1,262141.318294,262141.318294
1024.000000,4,512.000000,1023.999990
4096.000000,4,3583.999785,4095.999713
16384.000000,4,15871.995238,16383.994921
65536.000000,4,65023.918070,65535.916769
262144.000000,4,261630.665684,262142.660451
4096.000000,16,1024.000000,4095.999877
16384.000000,16,13311.998403,16383.997542
65536.000000,16,62463.962522,65535.958712
262144.000000,16,259071.347140,262143.331535
16384.000000,64,2048.000000,16383.998853
65536.000000,64,51199.987712,65535.979684
262144.000000,64,247807.702631,262143.667078
65536.000000,256,4096.000000,65535.990170
262144.000000,256,200703.903662,262143.834849
262144.000000,1024,8192.000000,262143.918735
1024.000000,1,1024.000000,1024.000000
4096.000000,1,4095.999877,4095.999877
16384.000000,1,16383.997542,16383.997542
65536.000000,1,65535.958712,65535.958712
262144.000000,1,262143.331535,262143.331535
1048576.000000,1,1048565.273177,1048565.273177
4096.000000,4,2048.000000,4095.999959
16384.000000,4,14335.999140,16383.998853
65536.000000,4,63487.980954,65535.979684
262144.000000,4,260095.672279,262143.667078
1048576.000000,4,1046522.662734,1048570.641804
16384.000000,16,4096.000000,16383.999508
65536.000000,16,53247.993610,65535.990170
262144.000000,16,249855.850086,262143.834849
1048576.000000,16,1036285.388561,1048573.326138
65536.000000,64,8192.000000,65535.995412
262144.000000,64,204799.950848,262143.918735
1048576.000000,64,991230.810523,1048574.668310
262144.000000,256,16384.000000,262143.960678
1048576.000000,256,802815.614649,1048575.339398
1048576.000000,1024,32768.000000,1048575.674942
