total_cores,r_index,speedup_asym,speedup_dyn
1.000000,1,1.000000,1.000000
4.000000,1,3.076923,3.076923
16.000000,1,6.400000,6.400000
64.000000,1,8.767123,8.767123
256.000000,1,9.660377,9.660377
1024.000000,1,9.912875,9.912875
4.000000,4,2.000000,3.636364
16.000000,4,8.750000,9.411765
64.000000,4,15.500000,15.609756
256.000000,4,18.676471,18.686131
1024.000000,4,19.653846,19.654511
16.000000,16,4.000000,12.307692
64.000000,16,23.636364,25.600000
256.000000,16,34.857143,35.068493
1024.000000,16,38.625954,38.641509
64.000000,64,8.000000,37.647059
256.000000,64,58.823529,62.439024
1024.000000,64,74.461538,74.744526
256.000000,256,16.000000,102.400000
1024.000000,256,135.172414,140.273973
1024.000000,1024,32.000000,249.756098
4.000000,1,4.000000,4.000000
16.000000,1,12.307692,12.307692
64.000000,1,25.600000,25.600000
256.000000,1,35.068493,35.068493
1024.000000,1,38.641509,38.641509
4096.000000,1,39.651500,39.651500
16.000000,4,8.000000,14.545455
64.000000,4,35.000000,37.647059
256.000000,4,62.000000,62.439024
1024.000000,4,74.705882,74.744526
4096.000000,4,78.615385,78.618042
64.000000,16,16.000000,49.230769
256.000000,16,94.545455,102.400000
1024.000000,16,139.428571,140.273973
4096.000000,16,154.503817,154.566038
256.000000,64,32.000000,150.588235
1024.000000,64,235.294118,249.756098
4096.000000,64,297.846154,298.978102
1024.000000,256,64.000000,409.600000
4096.000000,256,540.689655,561.095890
4096.000000,1024,128.000000,999.024390
16.000000,1,16.000000,16.000000
64.000000,1,49.230769,49.230769
256.000000,1,102.400000,102.400000
1024.000000,1,140.273973,140.273973
4096.000000,1,154.566038,154.566038
16384.000000,1,158.606002,158.606002
64.000000,4,32.000000,58.181818
256.000000,4,140.000000,150.588235
1024.000000,4,248.000000,249.756098
4096.000000,4,298.823529,298.978102
16384.000000,4,314.461538,314.472169
256.000000,16,64.000000,196.923077
1024.000000,16,378.181818,409.600000
4096.000000,16,557.714286,561.095890
16384.000000,16,618.015267,618.264151
1024.000000,64,128.000000,602.352941
4096.000000,64,941.176471,999.024390
16384.000000,64,1191.384615,1195.912409
4096.000000,256,256.000000,1638.400000
16384.000000,256,2162.758621,2244.383562
16384.000000,1024,512.000000,3996.097561
64.000000,1,64.000000,64.000000
256.000000,1,196.923077,196.923077
1024.000000,1,409.600000,409.600000
4096.000000,1,561.095890,561.095890
16384.000000,1,618.264151,618.264151
65536.000000,1,634.424008,634.424008
256.000000,4,128.000000,232.727273
1024.000000,4,560.000000,602.352941
4096.000000,4,992.000000,999.024390
16384.000000,4,1195.294118,1195.912409
65536.000000,4,1257.846154,1257.888676
1024.000000,16,256.000000,787.692308
4096.000000,16,1512.727273,1638.400000
16384.000000,16,2230.857143,2244.383562
65536.000000,16,2472.061069,2473.056604
4096.000000,64,512.000000,2409.411765
16384.000000,64,3764.705882,3996.097561
65536.000000,64,4765.538462,4783.649635
16384.000000,256,1024.000000,6553.600000
65536.000000,256,8651.034483,8977.534247
65536.000000,1024,2048.000000,15984.390244
256.000000,1,256.000000,256.000000
1024.000000,1,787.692308,787.692308
4096.000000,1,1638.400000,1638.400000
16384.000000,1,2244.383562,2244.383562
65536.000000,1,2473.056604,2473.056604
262144.000000,1,2537.696031,2537.696031
1024.000000,4,512.000000,930.909091
4096.000000,4,2240.000000,2409.411765
16384.000000,4,3968.000000,3996.097561
65536.000000,4,4781.176471,4783.649635
262144.000000,4,5031.384615,5031.554702
4096.000000,16,1024.000000,3150.769231
16384.000000,16,6050.909091,6553.600000
65536.000000,16,8923.428571,8977.534247
262144.000000,16,9888.244275,9892.226415
16384.000000,64,2048.000000,9637.647059
65536.000000,64,15058.823529,15984.390244
262144.000000,64,19062.153846,19134.598540
65536.000000,256,4096.000000,26214.400000
262144.000000,256,34604.137931,35910.136986
262144.000000,1024,8192.000000,63937.560976
1024.000000,1,1024.000000,1024.000000
4096.000000,1,3150.769231,3150.769231
16384.000000,1,6553.600000,6553.600000
65536.000000,1,8977.534247,8977.534247
262144.000000,1,9892.226415,9892.226415
1048576.000000,1,10150.784124,10150.784124
4096.000000,4,2048.000000,3723.636364
16384.000000,4,8960.000000,9637.647059
65536.000000,4,15872.000000,15984.390244
262144.000000,4,19124.705882,19134.598540
1048576.000000,4,20125.538462,20126.218810
16384.000000,16,4096.000000,12603.076923
65536.000000,16,24203.636364,26214.400000
262144.000000,16,35693.714286,35910.136986
1048576.000000,16,39552.977099,39568.905660
65536.000000,64,8192.000000,38550.588235
262144.000000,64,60235.294118,63937.560976
1048576.000000,64,76248.615385,76538.394161
262144.000000,256,16384.000000,104857.600000
1048576.000000,256,138416.551724,143640.547945
1048576.000000,1024,32768.000000,255750.243902
