total_cores,r_index,speedup_asym,speedup_dyn
1.000000,1,1.000000,1.000000
4.000000,1,3.883495,3.883495
16.000000,1,13.913043,13.913043
64.000000,1,39.263804,39.263804
256.000000,1,72.112676,72.112676
1024.000000,1,91.184328,91.184328
4.000000,4,2.000000,3.960396
16.000000,4,13.207547,14.953271
64.000000,4,47.692308,48.854962
256.000000,4,112.389381,112.775330
1024.000000,4,167.540984,167.594108
16.000000,16,4.000000,15.533981
64.000000,16,46.428571,55.652174
256.000000,16,152.500000,157.055215
1024.000000,16,287.500000,288.450704
64.000000,64,8.000000,59.813084
256.000000,64,161.290323,195.419847
1024.000000,64,440.000000,451.101322
256.000000,256,16.000000,222.608696
1024.000000,256,529.729730,628.220859
1024.000000,1024,32.000000,781.679389
4.000000,1,4.000000,4.000000
16.000000,1,15.533981,15.533981
64.000000,1,55.652174,55.652174
256.000000,1,157.055215,157.055215
1024.000000,1,288.450704,288.450704
4096.000000,1,364.737311,364.737311
16.000000,4,8.000000,15.841584
64.000000,4,52.830189,59.813084
256.000000,4,190.769231,195.419847
1024.000000,4,449.557522,451.101322
4096.000000,4,670.163934,670.376432
64.000000,16,16.000000,62.135922
256.000000,16,185.714286,222.608696
1024.000000,16,610.000000,628.220859
4096.000000,16,1150.000000,1153.802817
256.000000,64,32.000000,239.252336
1024.000000,64,645.161290,781.679389
4096.000000,64,1760.000000,1804.405286
1024.000000,256,64.000000,890.434783
4096.000000,256,2118.918919,2512.883436
4096.000000,1024,128.000000,3126.717557
16.000000,1,16.000000,16.000000
64.000000,1,62.135922,62.135922
256.000000,1,222.608696,222.608696
1024.000000,1,628.220859,628.220859
4096.000000,1,1153.802817,1153.802817
16384.000000,1,1458.949243,1458.949243
64.000000,4,32.000000,63.366337
256.000000,4,211.320755,239.252336
1024.000000,4,763.076923,781.679389
4096.000000,4,1798.230088,1804.405286
16384.000000,4,2680.655738,2681.505728
256.000000,16,64.000000,248.543689
1024.000000,16,742.857143,890.434783
4096.000000,16,2440.000000,2512.883436
16384.000000,16,4600.000000,4615.211268
1024.000000,64,128.000000,957.009346
4096.000000,64,2580.645161,3126.717557
16384.000000,64,7040.000000,7217.621145
4096.000000,256,256.000000,3561.739130
16384.000000,256,8475.675676,10051.533742
16384.000000,1024,512.000000,12506.870229
64.000000,1,64.000000,64.000000
256.000000,1,248.543689,248.543689
1024.000000,1,890.434783,890.434783
4096.000000,1,2512.883436,2512.883436
16384.000000,1,4615.211268,4615.211268
65536.000000,1,5835.796972,5835.796972
256.000000,4,128.000000,253.465347
1024.000000,4,845.283019,957.009346
4096.000000,4,3052.307692,3126.717557
16384.000000,4,7192.920354,7217.621145
65536.000000,4,10722.622951,10726.022913
1024.000000,16,256.000000,994.174757
4096.000000,16,2971.428571,3561.739130
16384.000000,16,9760.000000,10051.533742
65536.000000,16,18400.000000,18460.845070
4096.000000,64,512.000000,3828.037383
16384.000000,64,10322.580645,12506.870229
65536.000000,64,28160.000000,28870.484581
16384.000000,256,1024.000000,14246.956522
65536.000000,256,33902.702703,40206.134969
65536.000000,1024,2048.000000,50027.480916
256.000000,1,256.000000,256.000000
1024.000000,1,994.174757,994.174757
4096.000000,1,3561.739130,3561.739130
16384.000000,1,10051.533742,10051.533742
65536.000000,1,18460.845070,18460.845070
262144.000000,1,23343.187890,23343.187890
1024.000000,4,512.000000,1013.861386
4096.000000,4,3381.132075,3828.037383
16384.000000,4,12209.230769,12506.870229
65536.000000,4,28771.681416,28870.484581
262144.000000,4,42890.491803,42904.091653
4096.000000,16,1024.000000,3976.699029
16384.000000,16,11885.714286,14246.956522
65536.000000,16,39040.000000,40206.134969
262144.000000,16,73600.000000,73843.380282
16384.000000,64,2048.000000,15312.149533
65536.000000,64,41290.322581,50027.480916
262144.000000,64,112640.000000,115481.938326
65536.000000,256,4096.000000,56987.826087
262144.000000,256,135610.810811,160824.539877
262144.000000,1024,8192.000000,200109.923664
1024.000000,1,1024.000000,1024.000000
4096.000000,1,3976.699029,3976.699029
16384.000000,1,14246.956522,14246.956522
65536.000000,1,40206.134969,40206.134969
262144.000000,1,73843.380282,73843.380282
1048576.000000,1,93372.751558,93372.751558
4096.000000,4,2048.000000,4055.445545
16384.000000,4,13524.528302,15312.149533
65536.000000,4,48836.923077,50027.480916
262144.000000,4,115086.725664,115481.938326
1048576.000000,4,171561.967213,171616.366612
16384.000000,16,4096.000000,15906.796117
65536.000000,16,47542.857143,56987.826087
262144.000000,16,156160.000000,160824.539877
1048576.000000,16,294400.000000,295373.521127
65536.000000,64,8192.000000,61248.598131
262144.000000,64,165161.290323,200109.923664
1048576.000000,64,450560.000000,461927.753304
262144.000000,256,16384.000000,227951.304348
1048576.000000,256,542443.243243,643298.159509
1048576.000000,1024,32768.000000,800439.694656
